CensusTract,County,Borough,Income,IncomePerCap,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
36005000100,Bronx,Bronx,,2440.0,,,,,,,,0.0,,,,,
36005000200,Bronx,Bronx,72034.0,22180.0,44.8,13.7,38.6,2.9,0.0,0.0,43.0,0.4271700906903572,80.8,16.2,2.9,0.0,7.7
36005000400,Bronx,Bronx,74836.0,27700.0,41.3,10.0,44.6,1.4,0.5,2.1,45.0,0.452240067624683,71.7,25.3,2.5,0.6,9.5
36005001600,Bronx,Bronx,32312.0,17526.0,37.2,5.3,45.5,8.6,1.6,1.7,38.8,0.3606055451607416,75.0,21.3,3.8,0.0,8.7
36005001900,Bronx,Bronx,37936.0,17986.0,19.2,5.3,63.9,3.0,2.4,6.2,45.4,0.4179853338479352,76.8,15.5,7.7,0.0,19.2
36005002000,Bronx,Bronx,18086.0,12023.0,19.6,7.0,68.2,4.3,1.0,0.0,46.0,0.29450446218882104,71.0,21.3,7.7,0.0,17.2
36005002300,Bronx,Bronx,14479.0,9781.0,5.9,0.0,74.5,14.0,1.5,4.1,42.7,0.24947633012149142,74.2,16.1,9.7,0.0,18.9
36005002400,Bronx,Bronx,,49365.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.7533333333333333,62.8,37.2,0.0,0.0,0.0
36005002500,Bronx,Bronx,17226.0,11493.0,12.6,2.8,62.5,17.7,1.8,2.7,35.5,0.3157796451914099,85.1,8.3,6.1,0.5,9.4
36005002701,Bronx,Bronx,20153.0,10317.0,14.0,1.7,64.7,18.0,0.0,1.6,42.8,0.36538461538461536,86.9,8.5,4.5,0.0,15.2
36005002702,Bronx,Bronx,17147.0,8911.0,5.1,3.0,83.6,7.1,0.7,0.5,44.0,0.32628714943491,75.0,14.0,11.0,0.0,10.6
36005002800,Bronx,Bronx,49529.0,26652.0,42.8,3.7,48.2,2.0,0.6,2.7,47.3,0.45178335535006603,61.9,37.4,0.6,0.0,12.8
36005003100,Bronx,Bronx,37250.0,17043.0,16.4,0.0,65.5,14.6,3.5,0.0,40.1,0.4924965893587995,79.2,10.2,10.5,0.0,6.6
36005003300,Bronx,Bronx,19923.0,8555.0,11.0,4.6,68.4,13.5,0.8,1.8,42.5,0.28450920245398775,77.2,16.9,5.9,0.0,18.5
36005003500,Bronx,Bronx,26541.0,12300.0,19.6,2.6,64.7,7.4,1.0,4.7,41.6,0.3444782168186423,83.2,13.4,3.4,0.0,11.8
36005003700,Bronx,Bronx,,14771.0,8.3,0.0,79.2,12.5,0.0,0.0,33.0,0.3902439024390244,100.0,0.0,0.0,0.0,11.1
36005003800,Bronx,Bronx,37685.0,19795.0,41.6,1.7,47.3,6.9,1.3,1.1,41.3,0.3989941324392288,71.8,27.1,1.1,0.0,13.1
36005003900,Bronx,Bronx,25990.0,14559.0,3.4,1.1,83.6,6.5,0.6,4.8,42.9,0.41260961596613244,88.2,3.4,8.2,0.3,9.3
36005004001,Bronx,Bronx,48056.0,22652.0,31.0,3.0,62.9,3.2,0.0,0.0,47.4,0.42424242424242425,81.9,16.9,1.2,0.0,6.8
36005004100,Bronx,Bronx,18636.0,10877.0,6.7,0.5,75.1,16.2,0.7,0.8,43.5,0.2677578752316245,81.3,13.4,5.3,0.0,19.2
36005004200,Bronx,Bronx,25741.0,13846.0,19.4,2.7,68.9,7.2,1.0,1.0,48.5,0.2941011235955056,71.8,24.2,3.4,0.6,21.0
36005004300,Bronx,Bronx,21448.0,11828.0,13.4,2.6,66.4,12.6,1.0,4.0,39.6,0.3344890209674756,76.8,12.2,11.0,0.0,15.6
36005004400,Bronx,Bronx,22719.0,12126.0,15.9,5.6,72.4,2.5,0.8,2.8,43.2,0.30416491375683635,79.3,19.3,1.4,0.0,26.1
36005004600,Bronx,Bronx,40950.0,19260.0,35.3,8.3,47.1,9.3,0.0,0.0,33.7,0.31514178705189944,68.6,23.3,8.1,0.0,13.4
36005004800,Bronx,Bronx,30301.0,13968.0,14.0,5.0,71.0,6.6,0.0,3.4,42.1,0.3943485871467867,84.0,8.1,8.0,0.0,14.0
36005005001,Bronx,Bronx,27456.0,15334.0,14.7,4.3,69.6,8.0,0.0,3.3,48.2,0.39283520982599796,78.0,16.3,3.1,2.6,14.5
36005005002,Bronx,Bronx,28039.0,12990.0,5.4,3.4,75.1,10.4,2.3,3.3,48.2,0.4684955752212389,93.3,2.1,4.6,0.0,13.3
36005005100,Bronx,Bronx,18633.0,10602.0,2.4,2.0,92.2,2.5,0.5,0.5,43.6,0.28851937024588714,77.9,19.0,2.7,0.4,22.6
